t,sx,sy,sz
0,-0.5,0.0,1.1427490897997217e-16
1000,0.06870394679656412,-0.03852642640334121,-0.04883636841498599
2000,0.10057003314595213,0.03428826500796079,-0.33480025519179507
3000,-0.001955711328446182,-0.11624661715965387,0.06861779366522948
4000,-0.09371289439504019 + 1.2852945704272534e-14im,0.29640710067106074,-0.007584370014120247
5000,-0.03136597913808483,-0.07168771958396199,-0.012809889959991954
6000,0.10256647502114984,-0.0898991561939381,-0.23776641792541262
7000,-0.14342288829055724,0.001412931914084188,0.14701521826736996
8000,0.30936649692600826,0.1123971415945715,-0.07462846315738168
9000,-0.04373226384431939 + 1.563831529549642e-14im,0.09281442377861993 + 1.2705439998705881e-14im,-0.08794416887439387
10000,-0.17490257870486323,-0.21402711053912693 + 1.5360813749448754e-14im,-0.14926991520343608
